analysis_index,trodes_id,headstage_hardware_id,probe_hardware_id,probe_id,shank_id,shank_site,exclude
0,1,22,29,2,A,1,0
1,2,20,61,2,A,2,0
2,3,13,12,2,A,3,0
3,4,29,16,2,A,4,0
4,5,24,59,2,A,5,0
5,6,31,48,2,A,6,0
6,7,2,32,2,A,7,0
7,8,0,64,2,A,8,0
8,9,8,60,2,A,9,0
9,10,17,13,2,A,10,0
,11,46,50,,,,1
10,12,4,62,2,B,1,0
11,13,6,30,2,B,2,0
12,14,18,31,2,B,3,0
13,15,12,58,2,B,4,0
14,16,21,14,2,B,5,0
15,17,26,27,2,B,6,0
16,18,27,47,2,B,7,0
17,19,5,10,2,B,8,0
18,20,25,15,2,B,9,0
19,21,23,46,2,B,10,0
20,22,16,63,2,B,11,0
21,23,30,25,2,C,1,0
22,24,10,28,2,C,2,0
23,25,96,24,2,C,3,0
24,26,15,44,2,C,4,0
25,27,14,26,2,C,5,0
26,28,9,11,2,C,6,0
27,29,7,42,2,C,7,0
28,30,19,45,2,C,8,0
29,31,1,9,2,C,9,0
30,32,28,57,2,C,10,0
31,33,11,43,2,C,11,0
32,34,112,23,2,D,1,0
33,35,125,40,2,D,2,0
34,36,102,54,2,D,3,0
35,37,98,56,2,D,4,0
36,38,108,18,2,D,5,0
37,39,127,8,2,D,6,0
38,40,101,34,2,D,7,0
39,41,3,41,2,D,8,0
40,42,123,7,2,D,9,0
41,43,100,22,2,D,10,0
42,44,117,38,2,D,11,0
43,45,119,6,2,E,1,0
44,46,99,1,2,E,2,0
45,47,109,36,2,E,3,0
46,48,105,35,2,E,4,0
47,49,104,20,2,E,5,0
48,50,111,4,2,E,6,0
49,51,114,55,2,E,7,0
50,52,106,52,2,E,8,0
51,53,121,39,2,E,9,0
52,54,120,19,2,E,10,0
53,55,126,49,2,E,11,0
54,56,113,37,2,F,1,0
55,57,124,17,2,F,2,0
56,58,122,51,2,F,3,0
57,59,118,53,2,F,4,0
58,60,103,2,2,F,5,0
59,61,115,5,2,F,6,0
60,62,110,50,2,F,7,0
61,63,116,21,2,F,8,0
62,64,107,3,2,F,9,0
63,65,97,33,2,F,10,0
64,66,45,36,1,A,1,1
65,67,32,24,1,A,2,1
66,68,33,33,1,A,3,1
67,69,34,56,1,A,4,1
68,70,35,1,1,A,5,1
69,71,36,22,1,A,6,1
70,72,37,34,1,A,7,1
71,73,38,54,1,A,8,1
72,74,39,2,1,A,9,1
73,75,40,20,1,A,10,1
74,76,41,35,1,B,1,1
75,77,42,52,1,B,2,1
76,78,43,3,1,B,3,1
77,79,44,18,1,B,4,1
78,80,47,4,1,B,5,1
79,81,48,23,1,B,6,1
80,82,49,37,1,B,7,1
81,83,50,55,1,B,8,1
82,84,51,5,1,B,9,1
83,85,52,21,1,B,10,1
84,86,53,38,1,B,11,1
85,87,54,53,1,C,1,1
86,88,55,6,1,C,2,1
87,89,56,19,1,C,3,1
88,90,57,39,1,C,4,1
89,91,58,51,1,C,5,1
90,92,59,7,1,C,6,1
91,93,60,17,1,C,7,1
92,94,61,40,1,C,8,1
93,95,62,49,1,C,9,1
94,96,63,8,1,C,10,1
95,97,64,64,1,C,11,1
96,98,65,9,1,D,1,1
97,99,66,32,1,D,2,1
98,100,67,41,1,D,3,1
99,101,68,62,1,D,4,1
100,102,69,10,1,D,5,1
101,103,70,30,1,D,6,1
102,104,71,42,1,D,7,1
103,105,72,60,1,D,8,1
104,106,73,11,1,D,9,1
105,107,74,28,1,D,10,1
106,108,75,43,1,D,11,1
107,109,76,58,1,E,1,1
108,110,77,12,1,E,2,1
109,111,78,26,1,E,3,1
110,112,79,44,1,E,4,1
111,113,80,63,1,E,5,1
112,114,81,13,1,E,6,1
113,115,82,31,1,E,8,1
114,116,83,45,1,E,9,1
115,117,84,61,1,E,10,1
116,118,85,14,1,E,11,1
117,119,86,29,1,F,1,1
118,120,87,46,1,F,2,1
119,121,88,59,1,F,3,1
120,122,89,15,1,F,4,1
121,123,90,27,1,F,5,1
122,124,91,47,1,F,6,1
123,125,92,57,1,F,7,1
124,126,93,16,1,F,8,1
125,127,94,25,1,F,9,1
126,128,95,48,1,F,10,1
